1; 2.53125
2; 2.50312
3; 2.5125
4; 2.51719
5; 2.52562
6; 2.53594
7; 2.5433
8; 2.56289
9; 11.1062
10; 6.26344
11; 6.26676
12; 6.23906
13; 6.22428
14; 6.22969
15; 6.23812
16; 6.24023
17; 6.30496
18; 6.37187
19; 6.41694
20; 6.44484
21; 6.44196
22; 6.47131
23; 6.49076
24; 6.52383
25; 6.2505
26; 6.2524
27; 6.25313
28; 6.25379
29; 6.25539
30; 6.25781
31; 6.25827
32; 6.29385
33; 21.6707
34; 21.6968
35; 22.3746
36; 21.7398
37; 21.7779
38; 21.6466
39; 21.7889
40; 21.806
41; 21.6357
42; 21.6542
43; 21.6353
44; 21.6352
45; 21.5106
46; 21.6349
47; 21.6353
48; 21.7066
49; 21.6608
50; 21.6748
51; 21.6915
52; 21.706
53; 21.7199
54; 21.7344
55; 21.8792
56; 21.8461
57; 21.8314
58; 23.2017
59; 21.7149
60; 25.1138
61; 22.1431
62; 22.0101
63; 22.1504
64; 22.184
65; 22.5749
66; 22.7467
67; 22.1751
68; 22.1981
69; 21.9448
70; 22.3742
71; 22.1546
72; 22.2691
73; 22.0146
74; 22.1899
75; 21.8861
76; 21.8753
77; 21.8853
78; 22.6565
79; 22.0304
80; 21.8964
81; 22.1542
82; 22.0394
83; 21.9426
84; 22.0004
85; 21.9272
86; 22.0699
87; 22.0283
88; 21.9672
89; 21.9631
90; 21.9159
91; 23.4868
92; 23.2884
93; 23.1073
94; 22.3151
95; 23.4568
96; 23.2034
97; 22.7418
98; 23.4359
99; 23.6932
100; 23.5628
